Store,store_name,Group_store,store_longitude,store_latitude,store_address
77,The Coffee House 132 Hoàng Hoa Thám,The Coffee House,106.64532959999998,10.8008833,"132 Hoàng Hoa Thám, P.12, Q.Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam"
78,KOI THÉ PHAN XÍCH LONG,KOI Thé,106.690151,10.79779,"220-222 Phan Xích Long, Phường 2, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM"
79,Sharetea Hoàng Văn Thụ,Sharetea,106.655742,10.795501,"444 Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM"
80,Sharetea 3/2,Sharetea,108.22271299999998,16.057635,"Lô 33-34 2/9, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng, VIỆT NAM"
81,Toocha 103 Dân Chủ,Toocha,106.766791,10.849709,"103 Dân Chủ, phường Bình Thọ, quận Thủ Đức, Hồ Chí Minh, Việt Nam"
82,Tocotoco - AEON Long Biên,Tocotoco,105.8990103,21.026990100000013,"Tầng 3, AEON Mall Long Biên, 27 Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội, VIỆT NAM"
83,TocoToco - Phan Xích Long,Tocotoco,106.688371,10.7983581,"280 Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM"
84,Trung Nguyên Legend,Trung Nguyên Legend,105.849734,21.028387,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
85,B59 COFFEE,B59 COFFEE,105.815958,20.993166,"59 Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội, VIỆT NAM"
86,Trung Nguyên Legend,Trung Nguyên Legend,105.849734,21.028387,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
87,TOCOTOCO ĐƯỜNG SỐ 1,Tocotoco,106.6164791,10.7485264,"172 Đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, HCM"
